# min_read_ani:0.95 max_insert_relative:3 min_insert:50 min_mapq:1 pairing_filter:paired_only
scaffold	pass_pairing_filter	filtered_pairs	mean_mistmaches	unfiltered_pairs	pass_min_read_ani	median_insert	unfiltered_reads	mean_mapq_score	pass_min_mapq	unfiltered_priority_reads	pass_max_insert	unfiltered_singletons	pass_min_insert	mean_PID	mean_insert_distance	mean_pair_length	filtered_singletons	filtered_priority_reads
NORP83_78	1501	1500	1.7155229846768818	1501	1501.0	161.0	3130	38.645569620253156	1500.0	0	1501.0	128	1501.0	0.9920992829305704	170.36508994003998	217.81812125249837	0	0
NORP83_73	1024	1024	2.12890625	1024	1024.0	162.0	2116	36.755859375	1024.0	0	1024.0	68	1024.0	0.9903157263025201	171.8603515625	220.3896484375	0	0
NORP83_77	1174	1173	2.287052810902896	1174	1173.0	170.0	2464	39.95996592844975	1173.0	0	1174.0	116	1174.0	0.9895585412165128	175.30579216354343	219.5834752981261	0	0
NORP83_63	2029	2029	1.689502217841301	2029	2029.0	160.0	4177	39.34598324297684	2029.0	0	2029.0	119	2029.0	0.9923059817349462	169.75751601774272	219.76293740759	0	0
NORP83_80	1234	1233	1.6782820097244733	1234	1234.0	164.0	2570	41.31523500810373	1234.0	0	1233.0	102	1234.0	0.992332372020038	173.58670988654782	218.63290113452192	0	0
NORP83_81	803	803	1.4196762141967618	803	803.0	164.0	1643	40.48194271481943	803.0	0	803.0	37	803.0	0.9935428486092978	173.6425902864259	219.70859277708595	0	0
NORP83_82	902	902	1.8292682926829267	902	902.0	163.0	1832	36.013303769401325	902.0	0	902.0	28	902.0	0.9916606659717256	171.5931263858093	219.75942350332596	0	0
NORP83_40	3114	3114	2.0934489402697496	3114	3114.0	164.0	6526	41.159922928709065	3114.0	0	3114.0	298	3114.0	0.9904411319354366	172.3718689788054	219.08477842003853	0	0
NORP83_75	788	787	1.5342639593908631	788	788.0	162.5	1651	40.412436548223354	787.0	0	788.0	75	788.0	0.9929927692959226	168.90228426395942	218.64974619289342	0	0
NORP83_84	1409	1409	2.0865862313697656	1409	1409.0	159.0	2970	41.20085166784954	1409.0	0	1409.0	152	1409.0	0.9905059024478812	171.16891412349185	220.08374733853802	0	0
